b,a,b,a,a,a,a,a,a,c,a,d,a,e,b,a,a,b,a,b,b,a
d,d,b,a,a,a,a,a,a,a,a,c,b,e,a,b,a,c,a,b,a,d
d,d,b,a,a,a,a,a,a,a,a,c,b,g,b,a,a,d,a,d,c,a
b,a,b,b,a,a,a,a,a,b,b,a,b,a,b,b,a,d,b,a,c,a
e,d,d,c,a,a,a,e,c,d,c,c,a,f,b,a,a,e,b,d,b,a
e,d,e,b,a,a,a,a,a,d,c,?,b,i,a,a,a,g,b,a,a,d
b,d,f,a,b,a,a,a,a,a,a,c,a,e,b,a,a,d,a,g,a,b
b,e,d,c,a,a,a,e,d,d,c,c,a,d,b,a,a,e,b,b,b,d
g,d,e,b,a,a,a,e,a,b,a,c,a,e,a,b,a,d,b,a,c,d
e,e,d,c,a,a,a,d,d,d,c,c,a,c,b,a,a,e,b,b,c,a
b,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,d
b,c,a,b,a,a,a,a,a,b,b,a,b,b,b,b,a,d,b,c,a,a
g,d,e,b,a,a,a,a,a,a,c,?,b,i,a,a,a,g,b,e,a,e
f,f,e,b,b,a,a,f,f,a,a,?,a,e,b,a,a,d,a,a,b,a
e,e,d,c,a,a,a,b,d,d,c,c,a,d,b,a,a,e,b,d,c,d
d,e,d,c,a,a,a,d,c,d,c,c,a,d,b,a,a,e,b,b,c,d
d,d,b,a,a,a,a,c,c,a,a,c,b,e,b,a,a,d,a,a,b,a
d,d,b,a,a,a,a,a,a,a,a,c,b,g,b,a,a,d,a,d,c,d
d,e,a,a,a,a,a,c,c,a,a,c,b,g,b,a,a,d,a,d,c,a
b,d,d,a,a,a,a,a,a,a,b,c,b,d,b,a,a,e,a,d,a,a
b,a,a,b,a,a,a,a,a,b,b,a,b,d,b,b,a,d,b,c,a,d
d,d,e,b,a,a,a,b,c,d,c,?,b,i,a,a,a,e,b,a,a,d
g,d,e,b,a,a,a,a,a,d,c,?,b,i,a,a,a,g,b,e,a,d
b,b,e,a,b,a,a,a,a,d,c,?,a,c,b,b,a,d,b,d,a,a
d,d,e,b,a,a,a,a,c,d,a,?,b,i,a,a,a,h,b,a,a,e
